"n_adapts","alpha_avg","alpha_p90_l","alpha_p90_h","alpha_p50_l","alpha_p50_h"
32,0.9325620367597154,0.7773012381087184,0.999213442796205,0.9028918827839659,0.9325620367597154
64,0.9315198246434826,0.7781367260521005,0.9993196380430011,0.9000763608675718,0.9315198246434826
128,0.9171504300802404,0.7383501829553158,0.9994612942431509,0.8773769545181384,0.9171504300802404
512,0.8935653661092946,0.6835160139448196,1.0,0.832233170984973,0.8935653661092946
4096,0.8945926552731477,0.6842419563128064,1.0,0.8329332453154237,0.8945926552731477
