"n_adapts","alpha_avg","alpha_p90_l","alpha_p90_h","alpha_p50_l","alpha_p50_h"
32,0.938278013679988,0.7950891025365665,0.9995682462762671,0.9111502527065614,0.938278013679988
64,0.9297168573288601,0.7735011336085482,0.9998281173185866,0.8968003778094165,0.9297168573288601
128,0.9105469277870089,0.7227916420429087,1.0,0.8663411568038492,0.9105469277870089
512,0.8938650444244389,0.6841933867738395,1.0,0.8327361809426266,0.8938650444244389
4096,0.8940075004893039,0.6826875901136125,1.0,0.831876955912349,0.8940075004893039
