"n_adapts","alpha_avg","alpha_p90_l","alpha_p90_h","alpha_p50_l","alpha_p50_h"
32,0.8911137139602536,0.6677334048590285,0.9992355812312727,0.8369912262221543,0.8911137139602536
64,0.8891665355346383,0.6653216692932102,0.9999316038671241,0.8334291904142198,0.8891665355346383
128,0.8818486389037588,0.6488826689587591,1.0,0.8209031211307465,0.8818486389037588
512,0.8509643713514057,0.5881637790916017,1.0,0.7593585347951335,0.8509643713514057
4096,0.8940075004893039,0.6826875901136125,1.0,0.831876955912349,0.8940075004893039
