"n_adapts","alpha_avg","alpha_p90_l","alpha_p90_h","alpha_p50_l","alpha_p50_h"
32,0.8886616345498531,0.6649898182626409,1.0,0.8316942183882534,0.8886616345498531
64,0.8791467976063747,0.6443851881894194,1.0,0.8147295375796713,0.8791467976063747
128,0.8679875722942549,0.6214557409209628,1.0,0.7945319183205055,0.8679875722942549
512,0.8510910862517084,0.5881697966745463,1.0,0.7594674642397277,0.8510910862517084
4096,0.893224960283342,0.6808510721167432,1.0,0.8306633871773405,0.893224960283342
