"n_adapts","alpha_avg","alpha_p90_l","alpha_p90_h","alpha_p50_l","alpha_p50_h"
32,0.9376388249798555,0.7955489633110179,0.9999931952145518,0.9095658219092766,0.9376388249798555
64,0.9185405260761093,0.7447797301226602,1.0,0.8784770924857478,0.9185405260761093
128,0.8944468865274238,0.6845359860329233,1.0,0.837952467972199,0.8944468865274238
512,0.8940504663262376,0.6845706207008292,1.0,0.8331043816901538,0.8940504663262376
4096,0.893224960283342,0.6808510721167432,1.0,0.8306633871773405,0.893224960283342
