"n_adapts","alpha_avg","alpha_p90_l","alpha_p90_h","alpha_p50_l","alpha_p50_h"
32,0.8878981512527871,0.6609592342758449,0.9983088037796871,0.832500596585095,0.8878981512527871
64,0.8898131403188443,0.6679185304677915,0.998638613200251,0.8350969119297196,0.8898131403188443
128,0.8868640688818092,0.661095405897199,0.9990528613395193,0.8302472183323066,0.8868640688818092
512,0.8510941689395705,0.5882265112387599,1.0,0.7596194137629848,0.8510941689395705
4096,0.8945926552731477,0.6842419563128064,1.0,0.8329332453154237,0.8945926552731477
