"n_adapts","θ_med","θ_p90_l","θ_p90_h","θ_p50_l","θ_p50_h"
32,44.26510332842689,32.91300792629761,55.504169944838814,39.815379134847134,48.333956024541294
64,37.64820234564349,25.96017159671576,49.20670765964144,33.18129334877978,41.85249894628374
128,28.756275138737976,17.701905702633788,41.246645827809765,24.31146062490778,33.470226761099724
512,3.022261129063458,2.1402467811853354,4.173199120976996,2.6656198376878066,3.4478036656847832
4096,2.5216059623090477,1.781780177657744,3.4182883910856368,2.207259990608949,2.8535001568263736
