"n_adapts","θ_med","θ_p90_l","θ_p90_h","θ_p50_l","θ_p50_h"
32,29.303017235169495,16.799414041570056,40.66732575807087,24.195492163912984,33.853358900576325
64,19.14852300151558,9.74232943293776,29.541133746360885,15.348013682874328,22.929473652783933
128,11.207608172946282,5.497629708601895,18.879389775476383,8.776369038681404,13.955871365447763
512,3.020727153255457,2.134176657334625,4.027791402498209,2.642188082683868,3.413398860014446
4096,2.518141865108463,1.7924349694438348,3.4874115579332283,2.210152350099816,2.8616645334776267
