"n_adapts","θ_med","θ_p90_l","θ_p90_h","θ_p50_l","θ_p50_h"
32,46.025792933697915,34.63139313622061,57.02120100240384,41.47405412225042,50.379209074505056
64,38.82465196073662,27.04417577213085,50.257848528903686,34.17545512700538,43.39565716007851
128,29.526728841490044,18.61235450742026,41.21038769099163,25.101505504277355,34.12131525312766
512,8.093060136754598,5.747078553746528,10.955786590625994,7.043593867664452,9.20965078318068
4096,2.5216059623090477,1.781780177657744,3.4182883910856368,2.207259990608949,2.8535001568263736
