"n_adapts","θ_med","θ_p90_l","θ_p90_h","θ_p50_l","θ_p50_h"
32,32.454383499588324,21.90095989450293,43.72799768682146,27.972164089454125,37.02617134323706
64,22.596273451421172,14.894054257053538,32.35502697574164,19.23216633567378,26.377266003507945
128,14.701665820488605,9.842545007357815,21.51998040795764,12.525716302646199,17.204079795509067
512,8.087471215922989,5.76803341621446,10.969786026537625,7.081372512609415,9.205123359087617
4096,2.518141865108463,1.7924349694438348,3.4874115579332283,2.210152350099816,2.8616645334776267
