"n_adapts","θ_med","θ_p90_l","θ_p90_h","θ_p50_l","θ_p50_h"
32,52.23399471326438,41.80689445025669,62.796108443173495,47.9308085869616,56.42553172426696
64,49.61279885126497,39.07840945142703,60.124893942397904,45.311431661223985,53.716090897851124
128,45.3787293503177,34.59306685885419,56.058165878003955,41.026728454406566,49.638730255604166
512,8.09628963367137,5.78828265595407,10.941222792940467,7.058073502925465,9.166541119894555
4096,2.540516550542221,1.7807319159268733,3.4098653709746958,2.2119312712730195,2.888261263081942
