"idx","S_mean","S_p80_l","S_p80_h","S_p95_l","S_p95_h","iter_mean","iter_p80_l","iter_p80_h","iter_p95_l","iter_p95_h"
1,10.531812272834102,11.319349360459654,9.674578212457384,11.782194405461816,9.187868898584375,390.3913838163469,421.1389221515995,360.43339097214925,435.87814017559805,339.4713370545654
2,11.269251925999344,12.144358368891787,10.380687817790026,12.628462414291834,9.750514486266438,364.8930173710336,392.8834204711177,335.71804392935036,409.4854815358099,316.46787196387254
3,9.810501653960271,10.590693005118993,9.003860181054261,10.988033537119396,8.604913653497132,419.187224833043,452.58328478499624,384.79089329037237,466.55434400041764,363.9142971436107
4,10.964747248632905,11.837668567108135,10.082142904426163,12.217900454121587,9.635359946693502,375.005367161798,404.279456846396,344.13770116890436,416.8436745811719,328.2467009162951
5,11.959371354183682,12.866022574160999,11.06178722083749,13.320955381047385,10.479600080052899,343.77829546102527,368.9741689674949,316.9690799341613,382.77524237845023,301.05991355522144
6,9.90055847222875,10.732870132914108,9.076993334440798,11.099070792834976,8.508960389462002,415.5212772661134,449.09988753201685,379.35655889036406,468.3129032816944,360.3486585204392
7,11.127295002041366,12.048567861904818,10.15393799153189,12.532305254914325,9.709860637925305,369.6796982129278,400.8652388192662,338.02771712854315,412.8477559512339,318.0592312411321
8,10.536927344063411,11.350716614452558,9.695261283513716,11.744071593339969,9.194179482535652,390.1933182192775,420.4124414900023,359.12345171495,435.59604663691965,341.36248288496625
9,10.20330276180677,11.007577845538565,9.351201071936696,11.392251337113054,8.83450157376567,403.0673676780588,435.63720805470496,370.34489279589286,452.18008542911656,351.7483066478622
10,10.014228363944639,10.789034675529654,9.177022531447799,11.204416841402859,8.769941325245085,410.6374270135533,443.81322595246183,377.95706994317965,457.4612876884904,357.0883740560709
11,10.742295049400985,11.642817573463159,9.815530794264715,12.133436734931792,9.265954121980615,383.0226712340706,415.03161521622854,349.8601486156057,430.8197077840548,328.0243332139299
12,9.247017142633704,9.988107239273193,8.465551349804409,10.328047109025999,8.076285109796794,444.7370950052378,481.0375356571473,407.92761920295993,496.298986345577,387.88131470706816
13,9.929468432116623,10.692524006484982,9.14769972422658,11.111389225724272,8.6968941104157,414.0861338869704,445.77012026387126,381.323531380512,461.2140324212083,359.92377201101834
14,10.581785832471224,11.43206596859049,9.674357626279425,11.955308700739115,9.236004492218743,388.6573537687473,420.8064148696983,356.413756304173,433.9084093967895,332.4967343907843
15,10.235048626282342,11.0118340071421,9.39702926557835,11.45537137231237,8.979167943596073,401.731081848692,433.5556476407817,370.4016837950871,447.00709109555993,349.09387172617306
16,10.470790024918195,11.303671349054008,9.564640735251624,11.693070596289507,9.038753032248893,392.81945355033673,425.6123039318606,360.65043980290534,441.518939601682,342.7567225444998
17,10.112745890918898,11.00153252519032,9.23344395202103,11.462551099340494,8.666189990766934,407.03163353920775,441.43024072675314,370.0022458767855,459.71659425989805,346.6401492756738
18,9.953930328722542,10.765407167831912,9.105735608387986,11.147682026356163,8.60245820357215,413.1835995832332,447.18250181571005,378.34741921501893,464.0625281661108,358.796777618067
19,10.147029669261128,10.971696811100383,9.322934397676223,11.329463373788343,8.797331854332016,405.24820637129943,437.1527380413141,371.12280930068425,454.2208420702193,353.58781077212785
20,10.622750677493702,11.49674547231144,9.720748285633658,11.926079430838517,9.230740896060656,387.21885884799303,419.02876003561533,354.2815395960163,433.52352920833715,334.92526637344207
21,10.275423787240058,11.111660185667553,9.355396203769002,11.43695871014472,8.92432412025253,400.2657687231346,434.6686104701983,366.59587823804304,448.23356536327606,351.1070154836838
22,9.51987846116264,10.268301791921894,8.744357939935236,10.57110928348589,8.380133877886323,431.85725535556736,465.866855596659,396.7452385283332,479.46075189803065,380.04811079375685
23,10.768764310482515,11.60478171148525,9.936504589385835,11.978749883852233,9.434854181612224,381.72526911633037,410.3782558109171,351.0771876541099,425.01294573790926,334.9438989055953
24,9.845294620435116,10.566285786286292,9.04613945708446,10.900996194773594,8.555231836671194,417.5508880456319,450.300293899089,386.19061758943934,467.2636863465141,369.0961250384484
25,9.543956321394822,10.280307727533712,8.777859940293238,10.661075269019445,8.321816370279885,430.8504873208782,464.4188084477522,396.6483225725004,481.24706693123267,375.634870771765
